Ek		,	Ra			,	Nu	  
inf		,	2.626e10	,	166.85
inf		,	2.341e10	,	166.89
inf		,	3.529e10	,	176.49
inf		,	4.43e10		,	193.42
inf		,	5.851e10	,	210.89
inf		,	6.847e10	,	230.07
inf		,	8.26e10		,	242.17
inf		,	1.09e11		,	264.23
inf		,	1.464e11	,	294.33
inf		,	1.908e11	,	316.30
inf		,	2.639e11	,	353.37
inf		,	3.155e11	,	374.03
inf		,	3.905e11	,	401.58
inf		,	4.807e11	,	424.39
inf		,	5.757e11	,	448.27
inf		,	8.047e11	,	503.15
inf		,	8.053e11	,	503.19
inf		,	9.100e11	,	520.14
3.43e-6	,	2.976e10	,	200.34
3.39e-6	,	3.739e10	,	210.25
3.31e-6	,	5.628e10	,	233.18
3.37e-6	,	8.405e10	,	253.79
3.38e-6	,	1.095e11	,	269.80
3.40e-6	,	1.459e11	,	287.72
3.44e-6	,	1.831e11	,	331.53
3.16e-6	,	3.152e11	,	386.23
2.44e-6	,	8.053e11	,	499.11
2.34e-6	,	9.178e11	,	516.85
2.44e-6	,	8.047e11	,	503.15
1.11e-7	,	6.215e10	,	69.62
1.06e-7	,	9.629e10	,	105.48
1.12e-7	,	1.322e11	,	163.69
1.11e-7	,	1.633e11	,	190.77
1.07e-7	,	2.157e11	,	220.40
1.10e-7	,	2.666e11	,	254.53
1.02e-7	,	3.801e11	,	284.21
9.99e-8	,	4.556e11	,	301.29
9.34e-8	,	5.868e11	,	325.33
7.64e-8	,	1.137e12	,	395.55
8.36e-8	,	7.677e11	,	350.05
7.93e-8	,	9.056e11	,	369.48
7.14e-8	,	1.326e12	,	416.00
7.13e-8	,	1.330e12	,	414.93
6.89e-8	,	1.459e12	,	438.69
6.88e-8	,	1.473e12	,	435.82
inf		,	4.689e11	,	406.83
inf		,	6.913e11	,	466.58
inf		,	8.930e11	,	544.63
inf		,	1.158e12	,	598.38
inf		,	1.155e12	,	597.24
inf		,	1.579e12	,	654.58
inf		,	1.583e12	,	647.18
inf		,	2.048e12	,	693.79
inf		,	2.044e12	,	689.03
inf		,	2.708e12	,	753.64
inf		,	2.689e12	,	747.77
inf		,	3.448e12	,	794.43
inf		,	3.435e12	,	790.69
inf		,	3.425e12	,	790.40
inf		,	4.130e12	,	848.01
inf		,	4.125e12	,	847.02
inf		,	5.033e12	,	884.01
inf		,	5.023e12	,	885.88
inf		,	6.749e12	,	969.87
inf		,	6.789e12	,	965.78
1.15e-7	,	2.750e11	,	250.91
1.12e-7	,	4.215e11	,	298.44
1.12e-7	,	4.188e11	,	288.29
1.12e-7	,	4.107e11	,	290.43
1.12e-7	,	4.134e11	,	289.31
1.10e-7	,	5.578e11	,	355.63
1.12e-7	,	7.879e11	,	433.43
1.13e-7	,	1.290e12	,	529.05
1.12e-7	,	1.806e12	,	581.76
1.08e-7	,	2.424e12	,	628.86
1.02e-7	,	3.154e12	,	669.95
1.02e-7	,	3.162e12	,	671.16
9.57e-8	,	4.009e12	,	713.01
8.59e-8	,	5.816e12	,	792.88
7.93e-8	,	7.489e12	,	868.14
2.77e-8	,	5.545e11	,	142.27
2.69e-8	,	7.792e11	,	189.83
2.65e-8	,	9.201e11	,	233.33
2.65e-8	,	1.362e12	,	279.36
2.63e-8	,	1.717e12	,	312.75
2.56e-8	,	2.979e12	,	421.33
2.35e-8	,	4.695e12	,	526.35
2.35e-8	,	4.703e12	,	523.84
1.97e-8	,	8.398e12	,	636.53
1.79e-8	,	1.129e13	,	686.70

